resolved_global_id,identity_status,matched_known_id,unknown_global_id,global_gt_id,camera_id,frame_id,relative_sec,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,stream_unification_basis
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,280,28,1053,120,1103,311,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,280,28,700,239,818,639,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,285,28.5,1107,117,1156,307,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,285,28.5,808,236,924,640,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,285,28.5,228,241,349,599,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,290,29,1143,114,1191,301,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,290,29,941,226,1050,622,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,290,29,262,235,378,584,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,295,29.5,1189,111,1236,298,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,295,29.5,1050,224,1157,627,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,295,29.5,294,230,408,572,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,300,30,1218,109,1264,294,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,300,30,1176,213,1278,606,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,300,30,341,224,450,559,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,300,30,215,281,363,717,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,300,30,375,248,501,634,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,305,30.5,1239,108,1286,292,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,305,30.5,1307,210,1417,608,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,305,30.5,365,220,472,548,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,305,30.5,309,275,452,708,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,305,30.5,498,245,621,638,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,310,31,1252,107,1298,291,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,310,31,1409,208,1529,614,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,310,31,409,216,513,543,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,310,31,415,268,553,698,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,310,31,641,241,761,639,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,315,31.5,1266,106,1313,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,315,31.5,279,243,401,610,wildtrack_global_gt_id_demo_bridge
UNK_0001,unknown,,UNK_0001,166,C3,315,31.5,1566,211,1705,637,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,315,31.5,417,213,519,534,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,315,31.5,512,253,640,662,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,315,31.5,792,241,911,653,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,320,32,1272,106,1320,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,320,32,380,229,493,577,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,320,32,466,207,565,520,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,320,32,649,243,771,646,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,320,32,949,236,1063,652,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,325,32.5,1274,106,1322,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,325,32.5,481,215,585,547,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,325,32.5,490,201,585,505,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,325,32.5,794,238,911,644,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,325,32.5,1110,248,1229,703,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,330,33,1274,106,1322,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,330,33,569,204,667,521,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,330,33,539,194,629,488,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,330,33,930,234,1044,644,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,330,33,1262,256,1394,742,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,335,33.5,1274,106,1322,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,335,33.5,639,193,730,494,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,335,33.5,246,257,378,649,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,335,33.5,580,187,667,469,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,335,33.5,1119,232,1229,655,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,335,33.5,1468,265,1631,787,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,340,34,1274,106,1322,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,340,34,705,182,789,468,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,340,34,375,255,505,654,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,340,34,601,179,682,449,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,340,34,1276,231,1394,668,wildtrack_global_gt_id_demo_bridge
UNK_0002,unknown,,UNK_0002,582,C3,340,34,1648,273,1843,828,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,345,34.5,1272,106,1320,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,345,34.5,791,171,869,442,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,345,34.5,530,249,656,653,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,345,34.5,636,172,713,431,wildtrack_global_gt_id_demo_bridge
UNK_0003,unknown,,UNK_0003,483,C3,345,34.5,1481,231,1623,688,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,350,35,1257,107,1304,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,350,35,798,163,871,419,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,350,35,687,244,809,651,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,350,35,653,165,726,410,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,355,35.5,1261,106,1308,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,355,35.5,807,156,876,399,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,355,35.5,832,243,951,662,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,355,35.5,672,159,741,393,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,360,36,1263,106,1310,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,360,36,804,150,869,380,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,360,36,968,240,1085,668,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,360,36,684,153,750,376,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,360,36,215,251,342,628,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,365,36.5,1263,106,1310,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,365,36.5,816,145,878,364,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,365,36.5,1140,236,1253,670,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,365,36.5,705,147,768,360,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,365,36.5,374,244,497,621,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,370,37,1263,106,1310,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,370,37,828,140,888,352,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,370,37,1271,235,1392,680,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,370,37,727,142,786,347,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,370,37,530,233,645,604,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,375,37.5,1273,105,1320,288,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,375,37.5,831,135,888,336,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,375,37.5,1449,232,1588,687,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,375,37.5,740,138,797,336,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,375,37.5,687,229,799,608,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,380,38,1273,105,1320,288,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,380,38,843,131,898,326,wildtrack_global_gt_id_demo_bridge
UNK_0006,unknown,,UNK_0006,163,C3,380,38,1602,231,1760,700,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,380,38,751,134,806,325,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,380,38,871,220,977,596,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,385,38.5,1270,106,1317,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,385,38.5,851,127,903,312,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,385,38.5,766,131,820,316,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,385,38.5,1014,218,1117,604,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,390,39,1270,106,1317,290,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,390,39,854,123,904,302,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,390,39,770,127,822,306,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,390,39,1198,212,1300,603,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,395,39.5,1278,105,1326,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,395,39.5,859,120,908,293,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,395,39.5,768,124,818,296,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,395,39.5,1350,209,1464,609,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,400,40,1280,105,1327,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,400,40,855,117,902,284,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,400,40,760,122,808,289,wildtrack_global_gt_id_demo_bridge
UNK_0007,unknown,,UNK_0007,277,C3,400,40,1506,209,1637,625,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,405,40.5,1282,105,1329,289,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,405,40.5,858,115,903,276,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,405,40.5,774,118,820,279,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,410,41,1275,105,1322,287,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,410,41,844,113,888,269,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,410,41,782,116,827,272,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,415,41.5,1275,105,1322,287,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,415,41.5,848,111,891,262,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,415,41.5,782,114,826,265,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,420,42,247,192,335,455,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,420,42,1275,105,1322,287,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,420,42,850,108,891,256,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,420,42,782,112,824,259,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,425,42.5,277,192,365,457,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,425,42.5,1275,105,1322,287,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,425,42.5,845,106,885,249,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,425,42.5,783,109,824,252,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,430,43,285,192,372,456,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,430,43,1275,105,1322,287,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,430,43,851,104,889,242,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,430,43,783,107,822,245,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,435,43.5,332,190,418,456,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,435,43.5,1277,105,1324,287,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,435,43.5,847,102,885,237,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,435,43.5,786,105,824,239,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,435,43.5,291,247,416,625,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,440,44,354,190,441,458,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,440,44,1275,105,1322,286,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,440,44,852,101,888,232,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,440,44,786,103,823,234,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,440,44,395,241,516,616,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,445,44.5,367,191,455,463,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,445,44.5,1275,105,1322,286,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,445,44.5,853,99,888,226,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,445,44.5,784,102,820,230,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,445,44.5,527,234,643,608,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,450,45,393,194,483,473,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,450,45,257,176,334,406,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,450,45,1275,105,1322,286,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,450,45,845,98,880,222,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,450,45,260,171,333,389,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,450,45,792,100,827,224,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,450,45,647,228,758,600,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,455,45.5,428,192,517,471,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,455,45.5,316,172,390,398,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,455,45.5,1275,105,1322,286,wildtrack_global_gt_id_demo_bridge
UNK_0004,unknown,,UNK_0004,158,C3,455,45.5,845,96,879,217,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,455,45.5,320,168,391,386,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,455,45.5,795,99,829,220,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,455,45.5,757,223,865,595,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,460,46,466,190,554,470,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,460,46,380,167,452,390,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,460,46,1275,105,1322,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,460,46,376,163,445,377,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,460,46,799,97,832,214,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,460,46,289,241,410,607,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,460,46,854,217,958,586,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,465,46.5,494,191,582,474,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,465,46.5,438,164,508,387,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,465,46.5,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,465,46.5,441,159,508,371,wildtrack_global_gt_id_demo_bridge
UNK_0005,unknown,,UNK_0005,190,C3,465,46.5,802,96,835,211,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,465,46.5,483,235,600,606,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,465,46.5,973,213,1075,586,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,470,47,510,190,598,472,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,470,47,490,161,560,383,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,470,47,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,470,47,512,154,577,364,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,470,47,658,232,772,614,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,470,47,1096,203,1191,566,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,475,47.5,536,190,623,474,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,475,47.5,554,158,622,380,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,475,47.5,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,475,47.5,578,151,641,361,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,475,47.5,844,228,955,619,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,475,47.5,1209,198,1304,564,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,480,48,564,188,651,471,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,480,48,626,156,693,379,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,480,48,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,480,48,637,149,699,359,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,480,48,1027,229,1137,640,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,480,48,1324,190,1424,551,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,485,48.5,604,188,691,476,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,485,48.5,686,153,752,376,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,485,48.5,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,485,48.5,711,146,773,359,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,485,48.5,1229,228,1342,656,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,485,48.5,1430,184,1537,544,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,490,49,627,187,714,476,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,490,49,766,151,831,377,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,490,49,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,490,49,764,145,825,358,wildtrack_global_gt_id_demo_bridge
UNK_0009,unknown,,UNK_0009,283,C3,490,49,1432,228,1567,674,wildtrack_global_gt_id_demo_bridge
UNK_0008,unknown,,UNK_0008,620,C3,490,49,1517,180,1630,539,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,495,49.5,644,186,730,474,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,495,49.5,816,149,881,376,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,495,49.5,1277,105,1324,286,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,495,49.5,854,141,915,358,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,500,50,677,184,762,471,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,500,50,883,146,947,376,wildtrack_global_gt_id_demo_bridge
known_demo_gt_0147,known,known_demo_gt_0147,,147,C3,500,50,1264,105,1310,287,wildtrack_global_gt_id_demo_bridge
UNK_0011,unknown,,UNK_0011,161,C3,500,50,909,140,969,357,wildtrack_global_gt_id_demo_bridge
UNK_0012,unknown,,UNK_0012,115,C3,505,50.5,683,184,769,472,wildtrack_global_gt_id_demo_bridge
UNK_0010,unknown,,UNK_0010,134,C3,505,50.5,964,144,1027,375,wildtrack_global_gt_id_demo_bridge
